RUTA C5-001
"Calle. 78 Sur #35-294 a 35-320, Cañaveralejo, Sabaneta, Antioquia"
"Calle. 78 Sur #35- 182, Sabaneta, Cañaveralejo, Sabaneta, Antioquia"
"Calle. 78 Sur #40-314 a 40-378, Cañaveralejo, Sabaneta, Antioquia"
"Calle. 78 Sur #40-414 a 40-478, Sabaneta, Antioquia"
"Calle. 78 Sur #40, Sabaneta, Antioquia"
"Carrera. 45 #77c Sur-1 a 77c Sur-127, Sabaneta, Antioquia"
"Ciudadela Monteazul, Cra. 45A #79 sur 176, Sabaneta, Antioquia"
"Carrera. 46B #78 Sur-167 a 78 Sur-181, Sabaneta, Antioquia"
"Calle 77A Sur, Sabaneta, Antioquia"
"Calle. 77 Sur #45-2 a 45-76, Sabaneta, Antioquia"
"Carnes Sabanita, Cra. 45 #128, Sabaneta, Antioquia"
"Carrera. 45 #75 Sur-1 a 75 Sur-93, Sabaneta, Antioquia"
"Carrera. 45 #72s40, Sabaneta, Antioquia"
"Carrera. 43B #70 Sur-1 a 70 Sur-75, Sabaneta, Antioquia"
"Carrera. 43C #67S-15, Sabaneta, Antioquia"
"Carrera. 43A, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A #61 Sur-1 a 61 Sur-77, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A #56 Sur-94 a 56 Sur-32, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A #53, Sabaneta, Envigado, Antioquia"
"Calle. 50 Sur #44-2 a 44-40, Zona 8, Sabaneta, Antioquia"
"Calle. 51 Sur #105 a 103, Sabaneta, Antioquia"
"Calle. 52 Sur #44-65, Sabaneta, Antioquia"
"Carrera. 43A #54 Sur-66, Sabaneta, Antioquia"
"Carrera. 43A #54, Sabaneta, Antioquia"
"El Poblado #56-05, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A #63 Sur-25 a 63 Sur-55, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43C, Sabaneta, Antioquia"
"Calle. 68 Sur #45-81, Sabaneta, Antioquia"
"Calle. 77 Sur, Sabaneta, Antioquia"
"Estación Metro Estrella, Sabaneta, Antioquia"
"Calle. 77 Sur, Sabaneta, Antioquia"
"Calle. 77 Sur #47c-3 a 47c-1, Sabaneta, Antioquia"
"Carrera. 45 #77 SUR 24, Sabaneta, Antioquia"
"Calle. 78 Sur #40, Sabaneta, Antioquia"
"Calle. 78 Sur #40-414 a 40-478, Sabaneta, Antioquia"
"Calle. 78 Sur #40-314 a 40-378, Cañaveralejo, Sabaneta, Antioquia"
"Calle. 78 Sur #35- 182, Sabaneta, Cañaveralejo, Sabaneta, Antioquia"
"Calle. 78 Sur #35-294 a 35-320, Cañaveralejo, Sabaneta, Antioquia"
