RUTA C5-007
"Carrera. 29, La Doctora, Sabaneta, Antioquia"
Carrera. 32
Calle. 75 Sur #32-45 a 32-3
"Calle. 75 Sur #34-13, La Doctora, Sabaneta, Antioquia"
"Calle. 75 Sur #34-366 a 34-446, Sabaneta, Antioquia"
"Carrera. 43A #75, Sabaneta, Antioquia"
"Carrera. 45 #74 Sur-72 a 74 Sur-2, Sabaneta, Antioquia"
"Carrera. 43A #58 Sur-65 a 58 Sur-131, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 48, Zona 8, Envigado, Antioquia"
"Av. El Poblado #41b Sur-45 a 41b Sur-153, Zona 7, Envigado, Antioquia"
"Calle. 38 Sur #39-28 a 39-94, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #57, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #38-2 a 38-78, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #36 - 24, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #33-37, Zona 9, Envigado, Antioquia"
"Dg. 33 #35a Sur-1 a 35a Sur-69, Zona 9, Envigado, Antioquia"
"Dg. 33 #34c Sur-56 a 34c Sur-2, Zona 9, Envigado, Antioquia"
"Av. Lucas De Ochoa #39 Sur-136 a 39 Sur-68, Zona 9, Envigado, Antioquia"
"Calle. 46 Sur #46c-100, Zona 8, Envigado, Antioquia"
"Carrera. 48, Sabaneta, Antioquia"
"Carrera. 48, Zona 8, Envigado, Antioquia"
"Av. El Poblado #41b Sur-45 a 41b Sur-153, Zona 7, Envigado, Antioquia"
"Calle. 38 Sur #39-28 a 39-94, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #57, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #38-2 a 38-78, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #36 - 24, Zona 9, Envigado, Antioquia"
"Calle. 38 Sur #33-37, Zona 9, Envigado, Antioquia"
"Dg. 33 #35a Sur-1 a 35a Sur-69, Zona 9, Envigado, Antioquia"
"Dg. 33 #34c Sur-56 a 34c Sur-2, Zona 9, Envigado, Antioquia"
"Av. Lucas De Ochoa #39 Sur-136 a 39 Sur-68, Zona 9, Envigado, Antioquia"
"Cl. 46 Sur #46c-100, Zona 8, Envigado, Antioquia"
"Av. El Poblado, Zona 7, Envigado, Antioquia"
"Cra. 43A #58 Sur-65 a 58 Sur-131, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A, Alto Las Flores, Sabaneta, Antioquia"
"Calle. 68 Sur #45-81, Sabaneta, Antioquia"
"Carrera. 46 #74 Sur-43 a 74 Sur-109, Sabaneta, Antioquia"
"Carnes Sabanita, Cra. 45 #128, Sabaneta, Antioquia"
"Carrera. 45 #75b Sur-298 a 75b Sur-260, Sabaneta, Antioquia"
"Calle. 75b Sur #40-491 a 40-441, Sabaneta, Antioquia"
"Calle. 75b Sur #40-269 a 40-83, Sabaneta, Antioquia"
"Carrera. 40 #75 Sur-83 a 75 Sur-109, Sabaneta, Antioquia"
"Calle. 75 Sur #38a-11, Sabaneta, Antioquia"
"Calle. 75 Sur #34-366 a 34-446, Sabaneta, Antioquia"
"Carrera 34 a calle 75 sur 65, Sabaneta, Antioquia"
"Calle. 75 Sur #32-45 a 32-3, La Bahia, La Doctora, Sabaneta, Antioquia"
"La Bahia, La Doctora, Sabaneta, Antioquia"
"Carrera. 29, La Doctora, Sabaneta, Antioquia"
