RUTA C5-008
"Calle 51 Sur, 4883, Est Itagüí Buses"
"Carrera. 48, Sabaneta, Antioquia"
"Carrera. 48, Sabaneta, Antioquia"
"Carrera. 48, Sabaneta, Antioquia"
"Carrera. 43A, Zona 7, Sabaneta, Antioquia"
"Carrera. 43A #62 Sur-44 a 62 Sur-2, Alto Las Flores, Sabaneta, Antioquia"
"Calle. 68 Sur #45-90 a 45-120, Sabaneta, Antioquia"
"Calle. 77 Sur #4756, Poblado del Sur, Sabaneta, Antioquia"
"Calle 82 Sur #80 Sur-232 a 80 Sur-100, Sabaneta, Antioquia"
"Calle 82 Sur #80 Sur-624 a 80 Sur-482, Pan de Azucar, Sabaneta, Antioquia"
"Calle 82 Sur #35-368 a 35-384, Pan de Azucar, La Estrella, Antioquia"
"Calle 82 Sur #32-2 a 32-36, Pan de Azucar, La Estrella, Antioquia"
"Calle. 84 Sur #121, Pan de Azucar, La Estrella, Antioquia"
"Pacífico 1, Pan de Azucar, La Estrella, Antioquia"
"Pacífico 1, La Estrella, Antioquia"
"Calle. 77 Sur #47c-36 a 47c-42, Sabaneta, Antioquia"
"Carrera. 45 #75 sur 229, Sabaneta, Antioquia"
"Calle. 75 Sur #45-70, barrio, medellin, Sabaneta, Antioquia"
"Carrera. 45 #72s-35, Sabaneta, Antioquia"
"Carrera. 45 #71 sur, Sabaneta, Antioquia"
"Calle 71Sur #43b-22 a 43b-86, Sabaneta, Antioquia"
"Carrera. 43B #68a Sur-52 a 68a Sur-2, Sabaneta, Antioquia"
"Carrera. 43C #67S-15, Sabaneta, Antioquia"
"Carrera. 43A #56sur - 07, Sabaneta, Antioquia"
"Calle 51 Sur, 4883, Est Itagüí Buses"
