RUTA C5-009
"Carrera. 33 #72 Sur-35, La Bahia, La Doctora, Sabaneta, Antioquia"
"Calle. 75 Sur, Sabaneta, Antioquia"
"Carrera. 45 #72s-35, Sabaneta, Antioquia"
"Carrera. 44 #68 Sur-102 a 68 Sur-70, Sabaneta, Antioquia"
"Calle. 68 Sur #45 - 83, Sabaneta, Antioquia"
"Carrera. 48A #67 Sur 27, Sabaneta, Antioquia"
"Carrera. 49 #61 Sur-303 a 61 Sur-331, Sabaneta, Antioquia"
"Calle. 69 Sur #46-55, Sabaneta, Antioquia"
"Sede Torre Monarca , Cra. 46, Sabaneta, Antioquia"
"Carrera. 46 #76 Sur -2 a 76 Sur -76, Sabaneta, Antioquia"
"Calle. 75b Sur #40-491 a 40-441, Sabaneta, Antioquia"
"Calle. 75b Sur, Sabaneta, Antioquia"
"Carrera. 40, Sabaneta, Antioquia"
"Calle. 75 Sur #38a-2 a 38a-60, Sabaneta, Antioquia"
"Calle. 75 Sur #34-455 a 34-447, Sabaneta, Antioquia"
"Calle. 75 Sur #34-120, La Doctora, Sabaneta, Antioquia"
"Calle. 75 Sur # 33 - 03, La Bahia, Sabaneta, La Doctora, Sabaneta, Antioquia"
"Carrera. 33 #72 Sur-446 a 72 Sur-288, La Bahia, La Doctora, Sabaneta, Antioquia"
"Carrera. 33 #72 Sur-35, La Bahia, La Doctora, Sabaneta, Antioquia"
