RUTA C3-004
"Estación Exposiciones (Cr 51 - Cl 38, Medellín)"
"Centro Comercial San Diego (Cl 37 - Cr 43, Medellín)"
"Br. San Diego (Cr 38 - Cl 26, Medellín)"
"Br. San Diego (Cr 38 - Cl 30, Medellín)"
"Avenida Las Palmas (Cr 37a - Cl 29, Medellín)"
"Br. La Asomadera (Cr 37a - Cl 29, Medellín)"
"Br. La Asomadera (Cl 29c - Cr 33, Medellín)"
"Br. La Asomadera (Cr 33 - Cl 29, Medellín)"
"Br. La Asomadera (Cr 33 - Cl 29a, Medellín)"
"Br. La Asomadera (Cr 30 - Cl 27a, Medellín)"
"Br. La Asomadera (Cr 31 - Cl 19a, Medellín)"
"Br. La Asomadera (Cl 31 - Cr 30, Medellín)"
"Br. Loreto (Cr 32 - Cl 31, Medellín)"
"Br. Loreto (Cr 32 - Cl 34, Medellín)"
"Br. Loreto (Cr 28e - Cl 38b, Medellín)"
"Centro De Salud Loreto (Cr 28a - Cl 38f, Medellín)"
"Br. La Milagrosa (Cr 28a - Cl 38f, Medellín)"
"Br. La Milagrosa (Cl 42 - Cr 27, Medellín)"
"Br. Cataluña (Cr 25a - Cl 24, Medellín)"
"Br. Cataluña (Cl 40 - Cr 25, Medellín)"
"Br. Cataluña (Cl 40 - Cr 21, Medellín)"
"Batallón Bomboná (Cl 40 - Cr 21, Medellín)"
"Batallón Bomboná (Cr 21 - Cl 36, Medellín)"
"Batallón Bomboná (Cr 20 - Cl 34, Medellín)"
"Ermita Del Padre Marianito (Cl 34 - Cr 19, Medellín)"
