C6-004A
"Paradero Ruta 094 (Av. Oriental - Cl 47, Medellín)"
"Br. Colon (Cl 47 - Cr 44, Medellín)"
"Br. Bomboná No. 1 (Cl 47 - Cr 39, Medellín)"
"Fundación Ximena Rico Llano (Cl 47a - Cr 37, Medellín)"
"Br. Gerona (Cl 45 - Cr 33a, Medellín)"
"Br. La Milagrosa (Cl 45 - Cr 30, Medellín)"
"Br. La Milagrosa (Cl 45 - Cr 28, Medellín)"
"Br. Miraflores (Cr 27 - Cl 45, Medellín)"
"Br. Miraflores (Cr 24 - Cl 47, Medellín)"
"Colegio Nuestra Señora Del Rosario (Cr 22 - Cl 47, Medellín)"
"Br. Miraflores (Cr 22a - Cl 45, Medellín)"
"Distrito Militar 27 (Cl 45 - Cr 21, Medellín)"
"Br. Los Cerros (Cl 46a - Cr 16e, Medellín)"
"Batallón Bomboná (Cr 16a - Cl 45, Medellín)"
"Batallón Bomboná (Cr 15c - Cl 40, Medellín)"
"Br. Bomboná 2 (Cr 15b - Cl 36c, Medellín)"
"Br. Bomboná 2 (Cl 36 - Cr 15, Medellín)"
"Batallón Bomboná (Cl 35 - Cr 16, Medellín)"
"Batallón Bomboná (Cr 20 - Cl 34, Medellín)"
"Ermita Del Padre Marianito (Cl 34 - Cr 19, Medellín)"
