RUTA C6-007
"Paradero Ruta 094 (Av. Oriental - Cl 47, Medellín)"
"Br. Colon (Cl 47 - Cr 44, Medellín)"
"Br. Bomboná No. 1 (Cl 47 - Cr 39, Medellín)"
"Fundación Ximena Rico Llano (Cl 47a - Cr 37, Medellín)"
"Br. Gerona (Cl 45 - Cr 33a, Medellín)"
"Br. La Milagrosa (Cl 45 - Cr 30, Medellín)"
"Br. La Milagrosa (Cl 45 - Cr 28, Medellín)"
"Br. La Milagrosa (Cl 42 - Cr 27, Medellín)"
"Br. Cataluña (Cr 25a - Cl 24, Medellín)"
"Br. Cataluña (Cr 23 - Cl 40, Medellín)"
"Br. Cataluña (Cr 22c - Cl 37, Medellín)"
"Br. Cataluña (Cl 37 - Cr 22c, Medellín)"
"Br. Cataluña (Cl 37 - Cr 24a, Medellín)"
