RUTA C6-008
"Estación Prado (Kr 51d - Cl 58, Medellín)"
"Br. Prado (Cl 61 - Cr 50, Medellín)"
"Br. Los Ángeles (Cl 61 - Cr 45, Medellín)"
"Br. Los Ángeles (Cl 57 - Cr 41, Medellín)"
"Parque Obrero (Cl 58 - Cr 39, Medellín)"
"Colegio Alfonso López Pumarejo (Cl 58 - Cr 36a, Medellín)"
"Br. Enciso (Cl 58 - Cr 32, Medellín)"
"Br. Enciso (Cl 58 - Cr 31, Medellín)"
"Br. Enciso (Cl 58 - Cr 28a, Medellín)"
"Br. La Ladera (Cl 57c - Cr 27, Medellín)"
"Br. El Pinal (Cr 26a - Cl 56b, Medellín)"
"Br. El Pinal (Cr 25bb - Cl 56, Medellín)"
"Br. El Pinal (Cl 56b - Cr 25aa, Medellín)"
"Estación El Pinal (Cl 56e - Cr 25, Medellín)"
"Br. El Pinal (Cr 25 - Cl 56a, Medellín)"
"Br. El Pinal (Cr 24aa - Cl 56, Medellín)"
"Br. La Libertad (Cl 55 - Cr 22a, Medellín)"
"Br. La Libertad (Cl 56a - Cr 20a, Medellín)"
