C6-009
"Estación Prado (Kr 51d - Cl 58, Medellín)"
"Plazuela Tomás Cipriano De Mosquera (Av. Oriental - Kr 48, Medellín)"
"Avenida Oriental (Cl 57 - Av. Oriental, Medellín)"
"Parque Obrero (Cl 58 - Cr 39, Medellín)"
"Colegio Alfonso López Pumarejo (Cl 58 - Cr 36a, Medellín)"
"Br. Enciso (Cl 58 - Cr 32, Medellín)"
"Br. Enciso (Cl 58 - Cr 31, Medellín)"
"Br. Enciso (Cl 58 - Cr 28a, Medellín)"
"Br. La Ladera (Cl 57c - Cr 27, Medellín)"
"Br. El Pinal (Cr 26a - Cl 56b, Medellín)"
"Br. El Pinal (Cr 25bb - Cl 56, Medellín)"
"Estación El Pinal (Cl 56e - Cr 25, Medellín)"
"Br. La Libertad (Cl 56bc - Cr 20b, Medellín)"
"Uva Sol De Oriente (Cr 23 - Cl 23, Medellín)"
"Br. Trece De Noviembre (Cr 23 - Cl 56hc, Medellín)"
