RUTA C6-021
"Estación Tricentenario (Cr 55 - Cl 97a, Medellín)"
"Puente Madre Laura (Cr 53 - Cl 93, Medellín)"
"Br. San Isidro (Cl 93 - Cr 51, Medellín)"
"Br. Aranjuez (Cl 93 - Cr 50b, Medellín)"
"Estación Parque De Aranjuez (Cr 49a - Cl 92, Medellín)"
"Br. Aranjuez (Cl 92 - Cr 48, Medellín)"
"Parque De Aranjuez (Cr 48 - Cl 93, Medellín)"
"Br. Aranjuez (Cr 48 - Cl 94, Medellín)"
"Biblioteca Santa Cruz (Cr 47b - Cl 98a, Medellín)"
"Iglesia Nuestra Señora De La Asunción (Cr 49 - Cl 98a, Medellín)"
"Colegio La Asunción (Cl 100 - Cr 47, Medellín)"
"Br. Villa Del Socorro (Cr 45a - Cl 101, Medellín)"
"Colegio Santa Cruz (Cl 103 - Cr 42c, Medellín)"
"Br. Popular (Cr 42c - Cl 104, Medellín)"
"Br. Popular (Cl 105 - Cr 39, Medellín)"
"Br. Granizal (Cr 37a - Cl 104, Medellín)"
