RUTA C6-024
"Quebrada Santa Bárbara (Cl 51b - Cr 1bb, Medellín)"
"Br. Juan Pablo II (Cl 52 - Cr 2a, Medellín)"
"Br. Juan Pablo II (Cr 3 - Cl 52, Medellín)"
"Br. Las Estancias (Cl 52 - Cr 5, Medellín)"
"Br.Villa Liliam (Cl 52 - Cr 6, Medellín)"
"Br.Villa Liliam (Cl 52 - Cr 8, Medellín)"
"Quebrada La Castro (Cl 52 - Cr 10, Medellín)"
"Estación Oriente (Cl 52 - Cr 12, Medellín)"
"Br. Villatina (Cl 52 - Cr 13, Medellín)"
"Br. Alejandro Echavarría (Cr 15a - Cl 52, Medellín)"
"Br. Alejandro Echavarría (Cr 17 - Cl 50a, Medellín)"
"Br. Alejandro Echavarría (Cr 17 - Cl 49, Medellín)"
"Br. Alejandro Echavarría (Cl 49 - Cr 14, Medellín)"
"Estación Oriente (Cl 49a - Cr 12, Medellín)"
