RUTA C3-003M
"Estación Parque Belén (Carrera 76 - Calle 30, Medellín)"
"Quebrada Chocho (Carrera 76 - Calle 27, Medellín)"
"Br. San Bernardo (Kr 76 - Cl 20a, Medellín)"
"Parque Biblioteca Belén (Kr 76 - Cl 19, Medellín)"
"Colegio De La Inmaculada (Kr 76 - Cl 13, Medellín)"
"Edificio Panorama (Kr 76 - Cl 10, Medellín)"
"Unidad Residencial Sorrento II (Kr 76 - Av 80, Medellín)"
"Unidad Residencial La Guaira (Kr 76 - Cl 5, Medellín)"
"Unidad Residencial Mediterráneo (Cl 3c - Kr 78, Medellín)"
"Br. Belén El Rincón (Kr 78b - Cl 3, Medellín)"
"Parroquia San Bartolomé (Kr 79 - Cl 2b, Medellín)"
"Br. Belén El Rincón (Cl 2b - Kr 81a, Medellín)"
"Br. El Ñeque (Kr 81a - Cl 1 Sur, Medellín)"
"Escuela Antonio Ricaurte (Cl 2 - Kr 80, Medellín)"
"Br. Belén El Rincón (Kr 79 - Cl 1b, Medellín)"
"Br. Rodeo (Kr 79 - Cl 1 Sur, Medellín)"
"Urbanización Quintas De Marbella (Kr 79 - Cl 2b Sur, Medellín)"
"Parroquia Santa María Mazzarello (Kr 79 - Cl 3a Sur, Medellín)"
"Urbanización Reserva De San Nicolás (Kr 79 - Cl 6 Sur, Medellín)"
"Conjunto Residencial Remanso Del Rodeo (Cl 6 Sur - Kr 79c, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 80, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 80b, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 83, Medellín)"
"Br. Bartolomé (Cl 5 Sur - Kr 84, Medellín)"
"Acueducto Manzanillo (Vía Manzanillo, Medellín)"
"Br. La Hondonada (Vía Manzanillo, Medellín)"
"Vereda Manzanillo (Vía Manzanillo, Medellín)"
"Finca La Marina (Vía Manzanillo, Medellín)"
"Acueducto Manzanillo (Vía Manzanillo, Medellín)"
"Br. Bartolomé (Cl 5 Sur - Kr 84, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 83, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 80b, Medellín)"
"Br. La Capilla (Cl 6 Sur - Kr 80, Medellín)"
"Conjunto Residencial Remanso Del Rodeo (Cl 6 Sur - Kr 79c, Medellín)"
"Urbanización Reserva De San Nicolás (Kr 79 - Cl 6 Sur, Medellín)"
"Ciudadela El Rodeo (Kr 79 - Cl 3a Sur, Medellín)"
"Urbanización Camino Del Rodeo (Kr 79 - Cl 2b Sur, Medellín)"
"Urbanizacion Bosques Del Rodeo (Kr 79 - Cl 1 Sur, Medellín)"
"Br. Belén El Rincón (Kr 79 - Cl 1b, Medellín)"
"Escuela Antonio Ricaurte (Cl 2 - Kr 80, Medellín)"
"Br. El Ñeque (Kr 81a - Cl 1 Sur, Medellín)"
"Br. Belén El Rincón (Cl 2b - Kr 81a, Medellín)"
"Br. Belén El Rincón (Kr 79 - Cl 2b, Medellín)"
"Br. Belén El Rincón (Kr 78b - Cl 3, Medellín)"
"Br. Belén El Rincón (Cl 3c - Kr 78, Medellín)"
"Br. La Mota (Kr 76 - Cl 5, Medellín)"
"Centro Comercial Mall Gran Vía (Kr 76 - Av 80, Medellín)"
"Br. Las Playas (Kr 76 - Cl 10, Medellín)"
"Colegio De La Inmaculada (Kr 76 - Cl 13, Medellín)"
"Parque Biblioteca Belén (Kr 76 - Cl 19, Medellín)"
"Br. San Bernardo (Kr 76 - Cl 21, Medellín)"
"Edificio San Miguel (Kr 76 - Cl 27, Medellín)"
"Estación Parque Belén (Kr 76 - Cl 30, Medellín)"
