RUTA C6-005
"Paradero Ruta 094 (Av. Oriental - Cl 47, Medellín)"
"Br. Colon (Cl 47 - Cr 44, Medellín)"
"Br. Bomboná No. 1 (Cl 47 - Cr 39, Medellín)"
"Fundación Ximena Rico Llano (Cl 47a - Cr 37, Medellín)"
"Br. Gerona (Cl 45 - Cr 33a, Medellín)"
"Br. Buenos Aires (Cl 48 - Cr 30, Medellín)"
"Universidad Cooperativa (Cl 48 - Cr 29, Medellín)"
"Parroquia Santa Mónica (Cl 49 - Cr 26, Medellín)"
"Br. Miraflores (Cl 48 - Cr 25, Medellín)"
"Centro Comercial La Central (Cl 49 - Cr 20b, Medellín)"
"Colegio El Divino Salvador (Cl 46 - Cr 20a, Medellín)"
"Br. Los Cerros (Cl 46a - Cr 16e, Medellín)"
"Br. Los Cerros (Cl 46 - Cr 15d, Medellín)"
"Br. Los Cerros (Cl 46 - Cr 14b, Medellín)"
"Br. Los Cerros (Cr 14a - Cl 45cc, Medellín)"
"Br. La Pastora (Cl 45a - Cr 13, Medellín)"
"Br. La Pastora (Cr 8 - Cl 44c, Medellín)"
"Br. Caunces De Oriente (Cr 9a - Cl 44, Medellín)"
"Br. Caunces De Oriente (Cl 43d - Cr 8, Medellín)"
