C6-010
"Cabecera Caicedo-Villatna (Cr 17b - Cl 56ee, Medellín)"
"Br. Villatina (Cr 17b - Cl 56e, Medellín)"
"Calle 56d # 16-17"
"Br. Villatina (Cr 16 - Cl 56a, Medellín)"
"Br. Villatina (Cl 55 - Cr 16, Medellín)"
"Br. Villatina (Cl 54 - Cr 16, Medellín)"
"Br. Villatina (Cr 13 - Cl 52b, Medellín)"
"Br. Villatina (Cl 52 - Cr 13, Medellín)"
"Br. Alejandro Echavarría (Cl 52 - Cr 16, Medellín)"
"Estación Loyola (Cl 52 - Cr 20, Medellín)"
"Estación Miraflores (Cl 52 - Cr 25a, Medellín)"
"Br. Sucre (Cl 52 - Cr 27, Medellín)"
"Br. Sucre (Cl 52 - Cr 32, Medellín)"
"Br. Sucre (Cr 31 - Cl 54a, Medellín)"
"Calle 54, 372-3794"
"Parque De Boston"
"Br. Villa Nueva (Av. Oriental - Cl 57, Medellín)"
"Estación Prado (Kr 51d - Cl 58, Medellín)"
