RUTA C6-020
"Br. San José De La Cima (Cr 31 - Cl 93, Medellín)"
"Br. San José De La Cima (Cr 31b - Cl 92c, Medellín)"
"Br. San José De La Cima (Cr 31b - Cl 91, Medellín)"
"Br. San José De La Cima (Cr 32 - Cl 91, Medellín)"
"Iglesia San Blas (Cl 89a - Cr 36, Medellín)"
"Iglesia San Blas (Cl 89 - Cr 36c, Medellín)"
"Centro Salud San Blas (Cl 89 - Cr 39, Medellín)"
"Centro Salud San Blas (Cr 40 - Cl 88, Medellín)"
"Colegio Gabriel Restrepo Moreno (Cr 41 - Cl 85, Medellín)"
"Br. Santa Inés (Cr 41 - Cl 83, Medellín)"
"Br. Santa Inés (Cr 41 - Cl 81, Medellín)"
"Colegio San Lorenzo De Aburrá (Cl 80 - Cr 41, Medellín)"
"Estación Manrique (Cl 80 - Cr 44, Medellín)"
"Br. Campo Valdés (Cl 80 - Cr 47, Medellín)"
"Parque Brasilia (Cl 80 - Cr 50, Medellín)"
"Colegio Francisco Miranda (Cl 80 - Cr 50c, Medellín)"
"Estación Universidad (Cr 53 - Cl 73, Medellín)"
