RUTA C6-022
"Br. La Cruz (Cr 24 - Cl 79g, Medellín)"
"Br. La Cruz (Cr 24 - Cl 75c, Medellín)"
"Br. La Cruz (Cr 25 - Cl 75c, Medellín)"
"Parroquia De La Sabiduría (Cr 25 - Cl 77, Medellín)"
"Br. Versalles (Cr 27c - Cl 77, Medellín)"
"Br. Versalles (Cr 27c - Cl 79c, Medellín)"
"Colegio Ramón Munera Lopera (Cr 30 - Cl 77, Medellín)"
"Br. El Raizal (Cr 32 - Cl 75d, Medellín)"
"Br. El Raizal (Cl 75b - Cr 36, Medellín)"
"Br. El Raizal (Cl 75 - Cr 37, Medellín)"
"Parque Gaitán Manrique Oriental (Cr 37 - Cl 71a, Medellín)"
"Br. Manrique Central (Cl 71a - Cr 41, Medellín)"
"Unidad Hospitalaria Manrique (Cl 67 - Cr 43, Medellín)"
"Estación Palos Verdes (Cr 45 - Cl 66, Medellín)"
"Estación San Pedro (Cl 67 - Cr 50, Medellín)"
"Estación Hospital (Av. Bolívar - Cl 66, Medellín)"
"Estación Prado (Av. Bolívar - Cl 58, Medellín)"
