RUTA C9-001
"Carrera 50 #149 Sur-50, Caldas"
"Sta Barbara-Caldas, Estación Primavera"
"Carrera 50 #147 Sur-50, Caldas"
"Sena La Salada"
"Carrera 50 #146 Sur-40, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Primavera"
"Carrera 50 #146 Sur-40, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas"
"Carrera 50 #145 Sur-90, Caldas"
"Carrera 50, 146 Sur, Sta Barbara-Caldas, Ind Ramo"
"Carrera 50 #144 Sur-50, Caldas"
"Carrera 50, 142 Sur, Caldas"
"Carrera 50 #141 Sur-30, Caldas"
"Carrera 50, 140 Sur, Caldas"
"Carrera 50 #138 Sur-50, Caldas"
"Carrera 50, 137 Sur, Caldas"
"Carrera 50 #136 Sur-70, Caldas"
"Carrera 50, 136 Sur, Caldas, Cementerio"
"Carrera 49 #134 Sur-20, Caldas"
"Carrera 48, 133 Sur, Caldas"
"Carrera 48 #132 Sur-10, Caldas"
"Carrera 48, 131 Sur, Caldas"
"Calle 130 Sur #45-10, Caldas"
"Calle 130 Sur, 44a, Caldas"
"Calle 128 Sur #47-20, Caldas"
"Caldas - Estación Metro Estrella"
"Calle 125 Sur #49-10, Caldas"
"Calle 123 Sur, Caldas-Tablaza"
"Carrera 50 #122 Sur-30, Caldas"
"Carrera 50, 121 Sur, Caldas-Tablaza, Bomba Zeuss"
"Carrera 50A #119 Sur-20, Caldas"
"Carrera 50b, 117 Sur, Caldas-Tablaza, Uni Lasallista"
"Carrera 50A #117 Sur-50, Caldas"
"Carrera 50, 117 Sur, Caldas-Tablaza"
"Carrera 50 #115 Sur-40, Caldas"
"Carrera 50, 113 Sur, Caldas-Tablaza"
"Carrera 50 #111 Sur-80, Caldas"
"Carrera 50, 110 Sur, Caldas-Tablaza"
"Carrera 50 #108 Sur-20, Caldas"
"Carrera 50, 106 Sur, Caldas-Tablaza"
"Carrera 50 #103 Sur-50, Caldas"
"Calle 100b Sur, 49cc, Tablaza, Café Blanco Y Negro"
"Calle 100 Sur #49D-30, Tablaza"
"Calle 99 Sur, 49d, Tablaza"
"Calle 99 Sur #50-10, Tablaza"
"Carrera 51, 398"
"Carrera 50A #98 Sur-30, Tablaza"
"Carrera 50, 97b Sur557"
"Calle 97B Sur #50-20, Tablaza"
"Calle 97b Sur, 50-40"
"Calle 96A Sur #50-42, Tablaza"
"Calle 96 Sur, 50-43"
"Calle 95A Sur #50-10, Tablaza"
"Calle 95 Sur, 49d, Bar La Vuelta De La Vida"
"Calle 94A Sur #49E-20, Tablaza"
"Calle 94 Sur, 50, Restaurante La Parrilla Del Mono"
"Carrera 49D #94 Sur-10, Tablaza"
"Carrera 49d, 94 Sur24"
"Carrera 50 #92 Sur-40, Tablaza"
"Carrera 50, 91 Sur190"
"Calle 91 Sur #50A-50, Tablaza"
"Calle 90b Sur, 50a-22"
"Calle 89 Sur #50-60, Tablaza"
"Calle 88aa Sur, 50-103"
"Carrera 50 #84 Sur-50, La Estrella"
"Carrera 50, 80 Sur148"
"Autopista Sur #79 Sur-80, La Estrella"
"Estación Metro Estrella Buses"
"Carrera 50 #79 Sur-60, La Estrella"
"Autopista Sur, 79 Sur129"
"Carrera 50 #80 Sur-20, La Estrella"
"Carrera 50, 80 Sur1"
"Carrera 50 #80 Sur-170, La Estrella"
"Carrera 50, 80 Sur343"
"Carrera 50 #82 Sur-10, La Estrella"
"Carrera 50, 83c Sur282"
"Carrera 50 #87 Sur-20, La Estrella"
"Carrera 50, 91 Sur190"
"Calle 92 Sur #50-30, Tablaza"
"Calle 94 Sur, 50, Restaurante La Parrilla Del Mono"
"Calle 95A Sur #50-10, Tablaza"
"Calle 96 Sur, 50-43"
"Calle 96A Sur #50-42, Tablaza"
"Carrera 50, 97b Sur557"
"Calle 97B Sur #50-20, Tablaza"
"Carrera 51, 398"
"Carrera 50A #98 Sur-30, Tablaza"
"Calle 100b Sur, 49cc, Tablaza, Café Blanco Y Negro"
"Calle 100 Sur #49D-30, Tablaza"
"Carrera 50, 100c Sur, Caldas-Tablaza, Gloria Real"
"Carrera 50 #103 Sur-50, Caldas"
"Carrera 50, 106 Sur, Caldas-Tablaza"
"Carrera 50 #107 Sur-50, Caldas"
"Carrera 50, 109 Sur, Caldas-Tablaza"
"Carrera 50 #111 Sur-20, Caldas"
"Carrera 50, 113 Sur, Caldas-Tablaza"
"Carrera 50 #115 Sur-40, Caldas"
"Carrera 50, 117 Sur, Caldas-Tablaza"
"Carrera 50A #117 Sur-50, Caldas"
"Carrera 50b, 117 Sur, Caldas-Tablaza, Uni Lasallista"
"Carrera 50A #119 Sur-20, Caldas"
"Carrera 50, 121 Sur, Caldas-Tablaza, Bomba Zeuss"
"Calle 122 Sur #49-50, Caldas"
"Calle 123 Sur, Caldas-Tablaza"
"Calle 125 Sur #49-10, Caldas"
"Caldas - Estación Metro Estrella"
"Calle 128 Sur #47-20, Caldas"
"Angelópolis - Caldas, 128 Sur2-128 Sur96"
"Calle 130 Sur #46-50, Caldas"
"Calle 132 Sur, Caldas, El Consumo"
"Carrera 49 #133 Sur-30, Caldas"
"Carrera 50, 136 Sur, Caldas, Cementerio"
"Carrera 50 #136 Sur-70, Caldas"
"Carrera 50, 137 Sur, Caldas"
