RUTA M11M
"Avenida 39b, 67b, Niquía"
"Diagonal 67, 44b, Niquía"
"Diagonal 67, 45b, Niquía"
"Avenida 47b, 65, Niquía"
"Avenida 47b, 61, Niquía"
"Avenida 47b, 61, Niquía"
"Avenida 46a, 61, Niquía"
"Avenida 42, Niquía, Hospital Marco Fidel Suarez"
"Avenida 42, Niquía"
"Avenida 43, 55, Niquía"
"Calle 53, 44, Bello"
"Carrera 47, 53, Bello, Café Tango"
"Postobón (Autopista Norte - Cl 43, Bello)"
"Centro Comercial Parque Fabricato (Autopista Norte - Cl 39, Bello)"
"Almacafé (Autopista Norte - Cl 31, Bello)"
"Urbanización Ciudad Central (Autopista Norte - Cl 27b, Bello)"
"Cai Solla (Autopista Norte - Cl 119a, Medellín)"
"Br. Las Brisas (Autopista Norte - Cl 115, Medellín)"
"Br. Las Brisas (Autopista Norte - Cl 113a, Medellín)"
"Escuela De Policía Carlos Holguín Mallarino (Autopista Norte - Cl 111f, Medellín)"
"Zenú (Autopista Norte - Cl 111a, Medellín)"
"Br. Belalcázar (Autopista Norte - Cl 103, Medellín)"
"Parque Juanes De La Paz (Autopista Norte - Cl 97, Medellín)"
"Carrera 65, 92c-11"
"Terminal Del Norte (Autopista Norte - Cl 83, Medellín)"
"Br. Caribe (Autopista Norte - Cl 74, Medellín)"
"Secretaría De Movilidad De Medellín (Autopista Norte - Cl 72, Medellín)"
"Puente Punto Cero (Autopista Norte - Cl 67, Medellín)"
"Plazuela Tomás Cipriano De Mosquera (Av. Oriental - Kr 48, Medellín)"
"Clínica Victoriana (Av. Oriental - Kr 49, Medellín)"
"Universidad Nacional De Colombia (Autopista Norte - Cl 65, Medellín)"
"Puente Punto Cero (Autopista Norte - Cl 67, Medellín)"
"Proleche (Autopista Norte - Cl 72, Medellín)"
"Secretaría De Movilidad De Medellín (Autopista Norte - Cl 72, Medellín)"
"Terminal Del Norte (Autopista Norte - Cl 83, Medellín)"
"Parque Juanes De La Paz (Autopista Norte - Cl 97, Medellín)"
"Br. Belalcázar (Autopista Norte - Cl 103, Medellín)"
"Feria De Ganado (Autopista Norte - Cl 103ff, Medellín)"
"Escuela De Policía Carlos Holguín Mallarino (Autopista Norte - Cl 111f, Medellín)"
"Br. Toscana (Autopista Norte - Cl 115, Medellín)"
"Cai Solla (Autopista Norte - Cl 119a, Medellín)"
"Urbanización Ciudad Central (Autopista Norte - Cl 27b, Bello)"
"Fabricato (Autopista Norte - Cl 38, Bello)"
"Postobón (Autopista Norte - Cl 43, Bello)"
"Hospital Marco Fidel Suárez (Cl 44 - Kr 49b, Bello)"
"Carrera 48, Clínica Antioquia Sede Bello"
"Calle 50, 47, Bello, Ie Jesús De La Buena Esperanza"
"Diagonal 55, Niquía, Mall Comercial"
