RUTA C4 009
"Calle 27, Estación Sabaneta Buses"
Calle 27 #50A-20
"Diagonal 43, 28-51"
Diagonal 43 #28-51
"Carrera 50a, 3216"
Carrera 50A #32-16
"Carrera 50a, 342"
Carrera 50A #34-20
"Calle 34b, 50a10"
Calle 34B #50A-10
"Calle 36, Estadio De Itagüí"
Calle 36 #50A-20
"Calle 36, Estadio De Itagüí"
Calle 36 #48-20
"Carrera 65a, Vía La María"
Carrera 65A #36-20
"Calle 36, Estadio De Itagüí"
Calle 36 #50A-20
"Calle 33, 50b2, Hospital"
Calle 33 #50B-20
"Calle 33, 471"
Calle 33 #47-10
"Calle 34a, 431"
Calle 34A #43-10
"Calle 37b, 42184"
Calle 37B #42-184
"Autopista Sur, 29a1"
Autopista Sur #29A-10
"Calle 27, Estación Sabaneta Buses"
