RUTA C5-010
"Calle. 51 Sur #105 a 103, Sabaneta, Antioquia"
"Calle. 60 Sur #42 - 95, Alto Las Flores, Sabaneta, Antioquia"
"Calle. 68 Sur #45-81, Sabaneta, Antioquia"
"Calle. 77 Sur #45-2 a 45-76, Sabaneta, Antioquia"
"Calle. 77 Sur #34-124 a 34-224, San José, Sabaneta, Antioquia"
"Calle. 77 Sur, San José, Sabaneta, Antioquia"
"Calle. 77 Sur #90 a 12, Medellín, San José, Sabaneta, Antioquia"
"Calle. 77 Sur #38-32 a 38-42, Sabaneta, Antioquia"
"Calle. 77 Sur #40-158 a 40-218, Sabaneta, Antioquia"
"Calle. 77 Sur #4756, Poblado del Sur, Sabaneta, Antioquia"
"Calle. 75B Sur 124, Sabaneta, Antioquia"
"Carrera. 45 #65, Sabaneta, Antioquia"
"Carrera. 45 #72s-35, Sabaneta, Antioquia"
"Carrera. 45 #71 sur, Sabaneta, Antioquia"
"Calle 71Sur #43b-22 a 43b-86, Sabaneta, Antioquia"
"Carrera. 43A #68 Sur-44 a 68 Sur-2, Sabaneta, Antioquia"
"Carrera. 43A #63 sur, Alto Las Flores, Sabaneta, Antioquia"
"Carrera. 43A #55 Sur-68 a 55 Sur-2, Sabaneta, Antioquia"
"Calle. 51 Sur #105 a 103, Sabaneta, Antioquia"
